MatchId,Mode,MapName,Round,Seats,SeatIndex,BotKey,BotName,Creator,Opponents,TurnsPlayed,TimedOut,Failed,Placement,Win,TimeoutWin,Draw,Loss,Survived,EndHealth,ShotsFired,HitsLanded,DamageDealt,DamageTaken,Eliminations,Deaths,TurnsAlive
c7edd7bf-80cc-4911-9d66-a85c0e36885a,Duel,Four Corners,7,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,2,False,False,False,True,True,25,149,0,0,75,0,0,150
bf4f445f-cc74-4c0c-ab99-c95135288399,Duel,Four Corners,11,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
bf4f445f-cc74-4c0c-ab99-c95135288399,Duel,Four Corners,11,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
a054099e-26ff-449c-bdbd-6627b3de5eb5,Duel,Four Corners,10,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
a054099e-26ff-449c-bdbd-6627b3de5eb5,Duel,Four Corners,10,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
2e6ffd50-9bf0-435f-8224-0b604f064375,Duel,Four Corners,10,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
2e6ffd50-9bf0-435f-8224-0b604f064375,Duel,Four Corners,10,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
a6c5c2ed-8219-4f7d-a43f-281e70b456a1,Duel,Four Corners,9,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
a6c5c2ed-8219-4f7d-a43f-281e70b456a1,Duel,Four Corners,9,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
dc2951ca-e860-4b15-9360-a86b021c5fb6,Duel,Four Corners,9,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
dc2951ca-e860-4b15-9360-a86b021c5fb6,Duel,Four Corners,9,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
71b6d0a0-4a0d-4aeb-a509-6581e9db423b,Duel,Four Corners,8,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
71b6d0a0-4a0d-4aeb-a509-6581e9db423b,Duel,Four Corners,8,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
ec4c27ce-a39e-4da7-97b8-fa8e2888438f,Duel,Four Corners,8,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
ec4c27ce-a39e-4da7-97b8-fa8e2888438f,Duel,Four Corners,8,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
202217bc-4e3a-4348-a9a9-b78f2dbae483,Duel,Four Corners,7,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
202217bc-4e3a-4348-a9a9-b78f2dbae483,Duel,Four Corners,7,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
f4465573-acc0-46c1-b48e-455f2c6a16b2,Duel,Four Corners,7,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
f4465573-acc0-46c1-b48e-455f2c6a16b2,Duel,Four Corners,7,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
4e257755-17ae-43a0-aa08-e7999df2f68c,Duel,Four Corners,6,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
4e257755-17ae-43a0-aa08-e7999df2f68c,Duel,Four Corners,6,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
3a36a297-78cb-4a8e-8219-8cfb3ad5e982,Duel,Four Corners,6,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
3a36a297-78cb-4a8e-8219-8cfb3ad5e982,Duel,Four Corners,6,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
f825a3c0-4cd9-4adc-a0fd-3b76070073c9,Duel,Four Corners,5,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
f825a3c0-4cd9-4adc-a0fd-3b76070073c9,Duel,Four Corners,5,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
8eefefc9-76ab-4727-958f-805dd1a1a5f1,Duel,Four Corners,5,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
8eefefc9-76ab-4727-958f-805dd1a1a5f1,Duel,Four Corners,5,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
f4ec4188-8180-4fb5-b956-682d66acea5f,Duel,Four Corners,4,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
f4ec4188-8180-4fb5-b956-682d66acea5f,Duel,Four Corners,4,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
6e3692bc-1810-44dc-bfcd-003521624e85,Duel,Four Corners,4,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
6e3692bc-1810-44dc-bfcd-003521624e85,Duel,Four Corners,4,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
1c7099b6-b728-4c65-85f4-f13259bb2608,Duel,Four Corners,3,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,BlitzKriegBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
1c7099b6-b728-4c65-85f4-f13259bb2608,Duel,Four Corners,3,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
f9613a15-b76c-407c-ac8e-3859a62dba47,Duel,Four Corners,7,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,KingArthur,11,False,False,1,True,False,False,False,True,100,10,2,100,0,1,0,11
f9613a15-b76c-407c-ac8e-3859a62dba47,Duel,Four Corners,7,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,BlitzKriegBot,11,False,False,2,False,False,False,True,False,0,10,0,0,100,0,1,10
a07ed266-94eb-4361-9f8a-eedb693e5db4,Duel,Four Corners,6,2,0,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,BlitzKriegBot,11,False,False,2,False,False,False,True,False,0,10,0,0,100,0,1,10
a07ed266-94eb-4361-9f8a-eedb693e5db4,Duel,Four Corners,6,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,KingArthur,11,False,False,1,True,False,False,False,True,100,10,2,100,0,1,0,11
6ea94c14-43aa-4c51-8aae-926df147e8e2,Duel,Four Corners,6,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,KingArthur,11,False,False,1,True,False,False,False,True,100,10,2,100,0,1,0,11
