BotName,Opponent,MapName,Matches,Wins,TimeoutWins,Draws,Losses,WinRate,EffectiveWinRate,DamageDealt,DamageTaken,DamageDelta
Lightning McQueen,SchwarzeneggerBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,SchwarzeneggerBot,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,SchwarzeneggerBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,SchwarzeneggerBot,The void,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,SchwarzeneggerBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,A Super Robot,Four Corners,24,24,0,0,0,1.0000,1.0000,2400,0,2400
OlivierBot,A Super Robot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,A Super Robot,Oasis Cross,24,0,0,22,2,0.0000,0.1375,150,200,-50
OlivierBot,A Super Robot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,A Super Robot,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
OlivierBot,A Super Robot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,BlitzKriegBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,BlitzKriegBot,Het kanaal,24,10,0,4,10,0.4167,0.4417,0,900,-900
OlivierBot,BlitzKriegBot,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,BlitzKriegBot,River Bend,24,0,0,24,0,0.0000,0.1500,1200,1200,0
OlivierBot,BlitzKriegBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2100,-900
OlivierBot,BlitzKriegBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,BunnyBot,Four Corners,24,24,0,0,0,1.0000,1.0000,2400,0,2400
OlivierBot,BunnyBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,BunnyBot,Oasis Cross,24,0,17,7,0,0.0000,0.4688,1275,0,1275
OlivierBot,BunnyBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,BunnyBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
OlivierBot,BunnyBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,KingArthur,Four Corners,24,0,13,11,0,0.0000,0.3938,975,0,975
OlivierBot,KingArthur,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,KingArthur,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,KingArthur,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,KingArthur,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
OlivierBot,KingArthur,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,Lightning McQueen,Four Corners,24,24,0,0,0,1.0000,1.0000,2400,0,2400
OlivierBot,Lightning McQueen,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,Lightning McQueen,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,Lightning McQueen,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,Lightning McQueen,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
OlivierBot,Lightning McQueen,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,SchwarzeneggerBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,SchwarzeneggerBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,SchwarzeneggerBot,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,SchwarzeneggerBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
OlivierBot,SchwarzeneggerBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
OlivierBot,SchwarzeneggerBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,A Super Robot,Four Corners,24,23,0,1,0,0.9583,0.9646,2300,1725,575
SchwarzeneggerBot,A Super Robot,Het kanaal,24,24,0,0,0,1.0000,1.0000,1200,1800,-600
SchwarzeneggerBot,A Super Robot,Oasis Cross,24,24,0,0,0,1.0000,1.0000,2400,1800,600
SchwarzeneggerBot,A Super Robot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,A Super Robot,The void,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,A Super Robot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,BlitzKriegBot,Four Corners,24,24,0,0,0,1.0000,1.0000,2400,1800,600
SchwarzeneggerBot,BlitzKriegBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,BlitzKriegBot,Oasis Cross,24,19,0,5,0,0.7917,0.8229,1900,1425,475
SchwarzeneggerBot,BlitzKriegBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,BlitzKriegBot,The void,24,24,0,0,0,1.0000,1.0000,1200,1800,-600
SchwarzeneggerBot,BlitzKriegBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,BunnyBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,BunnyBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,BunnyBot,Oasis Cross,24,0,12,12,0,0.0000,0.3750,900,0,900
SchwarzeneggerBot,BunnyBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,BunnyBot,The void,24,1,0,23,0,0.0417,0.1854,100,75,25
SchwarzeneggerBot,BunnyBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,KingArthur,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,KingArthur,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,KingArthur,Oasis Cross,24,12,0,12,0,0.5000,0.5750,1200,600,600
SchwarzeneggerBot,KingArthur,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,KingArthur,The void,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,KingArthur,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,Lightning McQueen,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,Lightning McQueen,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,Lightning McQueen,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,Lightning McQueen,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,Lightning McQueen,The void,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,Lightning McQueen,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,OlivierBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,OlivierBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,OlivierBot,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,OlivierBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
SchwarzeneggerBot,OlivierBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
SchwarzeneggerBot,OlivierBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
